Country,Country:de,Country:es,Country:fr,Country:nb,Capital,Capital:de,Capital:es,Capital:fr,Capital:nb
England,England,Inglaterra,Angleterre,England,[[London]],London,Londres,Londres,London
Scotland,Schottland,Escocia,Écosse,Skottland,[[Edinburgh]]<br /> {{smaller|coord|55|57|11|N|3|11|20|W|display|=|inline}} {{coord|55|57|11|N|3|11|20|W|display|=|inline}},Edinburgh,Edimburgo,Édimbourg,Edinburgh
United Kingdom,Vereinigtes Königreich,Reino Unido,Royaume-Uni,Storbritannia,[[London]],London,Londres,Londres,London
Northern Ireland,Nordirland,Irlanda del Norte,Irlande du Nord,Nord-Irland,[[Belfast]],Belfast,Belfast,Belfast,Belfast
France,Frankreich,Francia,France,Frankrike,[[Paris]],Paris,París,Paris,Paris
Wales,Wales,Gales,Pays de Galles,Wales,[[Cardiff]]<br /> {{coord|51|29|N|3|11|W|type:city|display|=|inline}},Cardiff,Cardiff,Cardiff,Cardiff
Georgia,Georgia (Begriffsklärung),Georgia (desambiguación),Georgia,Georgia (andre betydninger),,Tiflis,Tiflis,Tbilissi,Tbilisi
Germany,Deutschland,Alemania,Allemagne,Tyskland,"[[Berlin]]<small> {{efn|[[Berlin]] is the sole constitutional capital and ''de jure'' seat of government, but the former provisional capital of the Federal Republic of Germany, [[Bonn]], has the special title of ""federal city"" (''|lang|de|Bundesstadt|'') and is the primary seat of six ministries.|ref|{{cite web|url=https://www.deutschland.de/en/topic/politics/the-german-federal-government|website=deutschland.de|title=The german Federal Government|date=23 January 2018|accessdate=16 March 2020}}|</ref>}} </small> {{lang|de|Bundesstadt}} '') and is the primary seat of six ministries.",Berlin,Berlín,Berlin,Berlin
Greece,Griechenland,Grecia,Grèce,Hellas,[[Athens]],Athen,Atenas,Athènes,Athen
Greenland,Grönland,Groenlandia,Groenland,Grønland,[[Nuuk]],Nuuk,Nuuk,Nuuk,Nuuk
Hungary,Ungarn,Hungría,Hongrie,Ungarn,[[Budapest]],Budapest,Budapest,Budapest,Budapest
Albania,Albanien,Albania,Albanie,Albania,[[Tirana]],Tirana,Tirana,Tirana,Tirana
Andorra,Andorra,Andorra,Andorre,Andorra,[[Andorra la Vella]],Andorra la Vella,Andorra la Vieja,Andorre-la-Vieille,Andorra la Vella
Austria,Österreich,Austria,Autriche,Østerrike,[[Vienna]],Wien,Viena,Vienne (Autriche),Wien
Azerbaijan,Aserbaidschan,Azerbaiyán,Azerbaïdjan,Aserbajdsjan,[[File:Coat of arms of Baku.svg|border|15px]] [[Baku]],Baku,Bakú,Bakou,Baku
Belarus,Weißrussland,Bielorrusia,Biélorussie,Hviterussland,[[Minsk]],Minsk,Minsk,Minsk,Minsk
Belgium,Belgien,Bélgica,Belgique,Belgia,[[City of Brussels|Brussels]],Region Brüssel-Hauptstadt,Región de Bruselas-Capital,Région de Bruxelles-Capitale,Brussel
Bosnia and Herzegovina,Bosnien und Herzegowina,Bosnia y Herzegovina,Bosnie-Herzégovine,Bosnia-Hercegovina,[[Sarajevo]],Sarajevo,Sarajevo,Sarajevo,Sarajevo
Bulgaria,Bulgarien,Bulgaria,Bulgarie,Bulgaria,[[Sofia]],Sofia,Sofía,Sofia,Sofia
Croatia,Kroatien,Croacia,Croatie,Kroatia,[[Zagreb]],Zagreb,Zagreb,Zagreb,Zagreb
Czech Republic,Tschechien,República Checa,Tchéquie,Tsjekkia,[[Prague]],Prag,Praga,Prague,Praha
